"country","country isocode","year","POP","ppp","cgnp"
"France","FRA","2000","61136.524","0.914046303","101.37299739"
"France","FRA","2001","61479.303","0.9103721621","101.18435597"
"France","FRA","2002","61828.99","0.9105601696","100.27360991"
"France","FRA","2003","62171.39","0.907950968","100.62678156"
"France","FRA","2004","62534.159","0.897215493","100.7924399"
"France","FRA","2005","62911.523","0.8858009314","100.64632448"
"France","FRA","2006","63292.515","0.8811658366","100.9767329"
"France","FRA","2007","63681.742","0.8711487296","101.15940408"
"France","FRA","2008","64058","0.8621500425","100.99876264"
"France","FRA","2009","64420","0.8609675546","100.82322163"
"Greece","GRC","2000","10559.11","0.6967791791","100.26929696"
"Greece","GRC","2001","10581.515","0.7021727495","100.63077513"
"Greece","GRC","2002","10603.863","0.7087447332","100.26374219"
"Greece","GRC","2003","10625.945","0.7107817225","99.430319645"
"Greece","GRC","2004","10647.529","0.7092265871","99.264303402"
"Greece","GRC","2005","10668.354","0.7098847111","98.310815957"
"Greece","GRC","2006","10688.058","0.7070453315","97.844193354"
"Greece","GRC","2007","10706.29","0.7074811061","97.076597229"
"Greece","GRC","2008","10723","0.7102529044","96.714949523"
"Greece","GRC","2009","10737","0.7186734087","97.239862687"
"Spain","ESP","2000","40589","0.6997707088","99.157811898"
"Spain","ESP","2001","41047","0.7084624138","98.386608646"
"Spain","ESP","2002","41640","0.7194935823","98.489041505"
"Spain","ESP","2003","42321","0.7299301043","98.839996986"
"Spain","ESP","2004","43000","0.7382203126","98.668675286"
"Spain","ESP","2005","43704","0.7428013085","98.58944621"
"Spain","ESP","2006","44432","0.7475743804","98.336354142"
"Spain","ESP","2007","45212","0.7465941216","97.730852165"
"Spain","ESP","2008","45910","0.7429833988","97.176578454"
"Spain","ESP","2009","46295","0.7365571922","97.944158356"
