country	country isocode	year	POP	ppp	cgnp
France	FRA	2000	61136.524	0.914046303	101.3729974
France	FRA	2001	61479.303	0.910372162	101.184356
France	FRA	2002	61828.99	0.91056017	100.2736099
France	FRA	2003	62171.39	0.907950968	100.6267816
France	FRA	2004	62534.159	0.897215493	100.7924399
France	FRA	2005	62911.523	0.885800931	100.6463245
France	FRA	2006	63292.515	0.881165837	100.9767329
France	FRA	2007	63681.742	0.87114873	101.1594041
France	FRA	2008	64058	0.862150043	100.9987626
France	FRA	2009	64420	0.860967555	100.8232216
Greece	GRC	2000	10559.11	0.696779179	100.269297
Greece	GRC	2001	10581.515	0.70217275	100.6307751
Greece	GRC	2002	10603.863	0.708744733	100.2637422
Greece	GRC	2003	10625.945	0.710781723	99.43031965
Greece	GRC	2004	10647.529	0.709226587	99.2643034
Greece	GRC	2005	10668.354	0.709884711	98.31081596
Greece	GRC	2006	10688.058	0.707045332	97.84419335
Greece	GRC	2007	10706.29	0.707481106	97.07659723
Greece	GRC	2008	10723	0.710252904	96.71494952
Greece	GRC	2009	10737	0.718673409	97.23986269
Spain	ESP	2000	40589	0.699770709	99.1578119
Spain	ESP	2001	41047	0.708462414	98.38660865
Spain	ESP	2002	41640	0.719493582	98.48904151
Spain	ESP	2003	42321	0.729930104	98.83999699
Spain	ESP	2004	43000	0.738220313	98.66867529
Spain	ESP	2005	43704	0.742801309	98.58944621
Spain	ESP	2006	44432	0.74757438	98.33635414
Spain	ESP	2007	45212	0.746594122	97.73085217
Spain	ESP	2008	45910	0.742983399	97.17657845
Spain	ESP	2009	46295	0.736557192	97.94415836
